Address,MENTO based on locked CELO,MENTO based on cStables balances,MENTO based on cStables volumes,total_distributed
0x003395afa8f0feb3ee0ed059d505e450ff11c424,,,251.70312662247505,251.70312662247505
0x00351fd75065c4bc5ae9b6daf38929d600641e47,,,357.01157443536596,357.01157443536596
0x0037fa750f9eff9af1634bd58f618802e393cf0a,,,576.1361746827064,576.1361746827064
0x003879d48fd283e73f93de61cbcaab29d1f43efe,,,544.6299562400565,544.6299562400565
0x00387a51b916883c1100ef3480ef93dc6c30ba03,11180.512460945783,,,11180.512460945783
0x0038ba4cfe869c005cae57d4a349daa38b390a10,,,169.20357037218565,169.20357037218565
0x003b8d6ebb8b02b570192c44e31b36a806c6c2ef,,576.2474387094776,,576.2474387094776
0x003d56d8220753ada8ecb25169f3ca031574d3c0,,658.7623524367718,,658.7623524367718
0x00409f636f0f1d8b26472eb6dbf12375b7501e38,,351.46983269920753,496.3950542393443,847.8648869385518
0x0044d9a129b110f1a33833cd4a64bfbbfc293ad8,,330.6604340764524,569.0455513462139,899.7059854226663
0x00468bd834964e1276972f3d35550140733911fd,,,445.2700999106016,445.2700999106016
0x004697a37bd80b31f6dbc9c5561ef2227425e462,,475.2672798074221,,475.2672798074221
0x00470de978e6aa8da589a434ed963a9d1c6669a5,,,162.26085842555815,162.26085842555815
0x00476759e1217bc744c545eab60f261cbaaac8b7,,,470.31590609893743,470.31590609893743
0x004772a9c3aba05f9c854e5bb1b5757d69982692,,1669.2564419111209,174.92158562287005,1844.1780275339909
0x00481898361901f3e49bfe3e40872d09e93c2c11,,2228.762802122889,2057.974290009646,4286.737092132535
0x0048baf0795189fe3f6c07df5d181e645dfc55c6,,522.1989952031342,,522.1989952031342
0x00490ada0238ffa1a2acdeb68ed62aa777b32ac6,1929.3472423402302,,,1929.3472423402302
0x0049682f58255cce2406c6529c78660613c87ae7,,427.0685554097744,,427.0685554097744
0x004af39f248777026fc485324198608ce1562ea6,,,200.28358846812174,200.28358846812174
0x004ba1f0c6d643d8eda20907f83460437ea6227c,,,267.32252371054216,267.32252371054216
0x004c636100d9c584084a02e4600edb010774ab55,,328.34288742471864,,328.34288742471864
0x004ca129c71da487afd603bb123b12398a3c5a23,,791.6500276297486,652.4556218453062,1444.1056494750546
0x004cb6c0e4cc57baead9bf7321c6e58bf35a55c4,,,1070.1761040804056,1070.1761040804056
0x004d2681074879dd6ea56a295034bf848a4b92e0,,822.1735901267941,423.2698646932027,1245.4434548199968
0x004f72e73958d2ac18e9964e98288675c3561966,,,213.7726069372328,213.7726069372328
0x00518334c9cf24c98fa30dd6e4a9eb9072a1d848,,1856.460179985953,1878.3905330148236,3734.8507130007765
